WorkTitle,WorkID,Work_WikidataID,Creator,CreatorID,Creator_WikidataID
H.I.T.,1181,NA,Max Dovey,906,Q98762172
How to be More or Less Human,908,NA,Max Dovey,906,Q98762172
A Hipster Bar,907,NA,Max Dovey,906,Q98762172
The Sims 4,235,Q12579896,Maxis,234,Q220317
Dystopia,2628,Q21040991,Megadeath,2626,NA
The Most Beautiful Women,3157,NA,Melissa Huang,3156,NA
comeback,3194,Q5151383,Meltem Şahin,3193,NA
Learning to See: Gloomy Sunday,1494,NA,Memo Akten,1074,Q22958352
Dirty Data,1495,NA,Memo Akten,1074,Q22958352
Optimising for Beauty,1496,NA,Memo Akten,1074,Q22958352
Brooklyn Nine-Nine: The Fugitive Part 1,1747,Q13417244,Michael Schur,1746,NA
La Region Nationale,106,NA,Michael Snow,105,Q558332
Life: A User’s Manual,1782,NA,Michelle Teran,1781,NA
17 Cities,1784,NA,Michelle Teran,1781,NA
Outside the Wire,2722,Q104241071,Mikael Håfström,2723,NA
Solar Opposites,2972,Q56290639,Mike McMahan,2971,NA
The Mitchells vs. The Machines,3033,Q54021143,Mike Rianda,3030,NA
"Us, Aggregated 3.0",2937,NA,Mimi Ọnụọha,2934,NA
Classification.01,2935,NA,Mimi Ọnụọha,2934,NA
Ministry of Broadcast,1171,Q84165734,Ministry of Broadcast Studio,1170,NA
Unmanned,192,NA,Molleindustria,190,Q2545055
Cam Boy,368,NA,Mood Killer,365,Q110752448
SelfieCity,3051,NA,Moritz Stefaner,3048,NA
Passengers,2222,Q20962283,Morten Tyldum,2261,Q3425142
Six Wakes,2068,Q54488341,Mur Lafferty,2206,Q13563022
Revolt,3082,Q21480358,Muse,3081,Q22151
The Normalizing Machine,193,NA,Mushon Zer-Aviv,188,Q61483354
Awake,316,Q47538617,Myron Dewey,313,NA
Lessons on Leaving Your Body,167,NA,Nadav Assor,166,NA
Future Tense: AI from the margins,3151,NA,Nakeema Stefflbauer,3149,NA
Someone to Watch Over Me,133,NA,Nancy Kress,132,Q238438
The Expanse,2412,Q7732812,Naren Shankar,2410,NA
Zanan Disruption,3161,NA,Nassem Navab,3159,NA
Arc of a Scythe (series),2810,Q110716508,Neal Shusterman,2670,Q6984190
"Fall; or, Dodge in Hell: A Novel",1840,Q65043785,Neal Stephenson,170,Q312853
Technotise: Edit & I,2297,Q225964,Nebojsa Andric,2291,NA
The Walking Dead: Our World,884,Q18393935,Next Games,891,NA
Temple,2701,Q25136813,Nguyen-Anh Nguyen,2700,Q65115393
Pokémon Go,49,NA,Niantic,48,NA
Best Friend,2344,Q60440861,Nicholas Olivieri,2340,NA
Gnomon,1434,NA,Nick Harkaway,1433,Q1985398
Nothing to Hide,55,Q91960126,Nicky Case,54,Q19680180
Outra 33 Bienal de São Paulo,1682,NA,Nina Bamberg,1683,NA
Utbryterne,2642,NA,Nina Borge,2631,NA
Remote Control,3129,NA,Nnedi Okorafor,1711,Q3877423
Lagoon,1712,NA,Nnedi Okorafor,1711,Q3877423
Observation,757,Q62604270,No Code,756,NA
She-Ra and the Princess of Power,2607,NA,Noelle Stevenson,2606,Q21062531
The Other Nefertiti,3202,NA,Nora Al-Badri,3200,NA
INTERHUMAN,3198,NA,Nora Isabel Golic,3197,NA
Salaf,3185,NA,Nouf Aljowaysir,3184,NA
Future Tense: AI from the margins,3151,NA,Nushin Isabelle Yazdani,3150,NA
The Seeker,1082,NA,Nye Thompson,1080,NA
Final Space,810,Q28406285,Olan Rogers,806,Q55767418
The Final Cut,867,Q705343,Omar Naim,866,Q3351886
Geocinema,900,NA,Orlov Alexey,898,NA
Orwell,44,Q27940629,Osmotic Studios,43,Q32860574
(e)motion,1559,NA,Otten Bert,1761,NA
Big Brother Is Shaping You,875,NA,PABL,879,NA
Capture,2046,NA,Paolo Cirio,1560,Q7132173
Face-to-facebook,1562,NA,Paolo Cirio,1560,Q7132173
Madoc: A Mystery,2719,NA,Paul Muldoon,2717,Q2061388
Onisciente,1734,Q84156278,Pedro Aguilera,1733,Q24928798
3%,2208,NA,Pedro Aguilera,1733,Q24928798
Mask.ID,2988,NA,Peng!,2987,Q19601646
I'm Alan Partridge,687,Q11787820,Peter Baynham,683,Q7172726
Spider-Man: Into the Spider-Verse,1970,Q29588607,Peter Ramsey,2196,NA
How to Sell Drugs Online (Fast),2241,Q58476599,Philipp Käßbohrer,2233,NA
Cosmodrama,2372,Q24939591,Philippe Fernandez,2371,Q97277398
Voyeur,237,Q1989435,Philips POV Entertainment,236,NA
The Argus Project,3171,NA,Pierre Mendy,3170,NA
Shutter (film),282,Q1519981,Pisanthanakun Banjong,279,NA
Astral Chain,747,Q61727129,PlatinumGames,128,NA
NieR: Automata,129,Q21078985,PlatinumGames,128,NA
Face Your Feelings,92,NA,Playgen Ltd,91,NA
